T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
24.8,32.2,21,,54,2.6,14.4,37,
,,,,,,,,
21.9,29.6,18,,66,3.1,11.7,29.4,
,,,,,,,,
24.9,32,17.1,,51,3.7,6.9,14.8,
,,,,,,,,
26.3,33.6,19,-,46,3.1,8.7,14.8,
,,,,,,,,
28.8,36.3,20.5,-,36,3.1,5.4,13,
,,,,,,,,
31.9,39.2,22.9,-,31,3.1,7.6,18.3,
,,,,,,,,
32.2,40.2,23.5,,32,3.1,6.9,22.2,
,,,,,,,,
34.7,42.5,24.2,,31,3.1,9.3,20.6,
,,,,,,,,
-,-,-,-,-,-,-,-,
,,,,,,,,
34.3,43.2,25,,34,2.4,8.9,22.2,
,,,,,,,,
34.5,42.2,25.4,-,25,3.1,10.9,22.2,
,,,,,,,,
34.8,42.2,25.6,-,22,3.5,15.6,33.5,
,,,,,,,,
34.8,43,25,-,17,3.1,13,27.8,
,,,,,,,,
34.8,43.4,25,,19,3.2,8.3,18.3,
,,,,,,,,
-,-,-,-,-,-,-,,
,,,,,,,,
34.9,43,25.5,-,23,2.9,6.9,14.8,
,,,,,,,,
32,40.4,26.4,-,30,2.9,16.5,55.4,
,,,,,,,,
30.7,40.3,25,-,35,3.4,10,18.3,
,,,,,,,,
32.2,40.6,22.9,,20,3.2,10.9,22.2,
,,,,,,,,
32.6,41,21.6,,21,3.4,9.1,22.2,
,,,,,,,,
34,42.8,25,,17,2.7,8.9,24.1,
,,,,,,,,
34.8,43,24.2,-,19,2.6,9.6,27.8,
,,,,,,,,
35.5,43.6,26,-,20,3.1,10.7,25.9,
,,,,,,,,
35.4,43.6,27.6,-,20,2.9,13,27.8,
,,,,,,,,
34.1,43.6,26,,22,3.1,13.1,27.8,
,,,,,,,,
33,40.2,24,,31,2.4,11.3,18.3,
,,,,,,,,
32.9,40.3,26.2,,28,2.1,11.3,22.2,
,,,,,,,,
31.1,41.5,24,-,35,2.3,10.2,33.5,
,,,,,,,,
30.6,37.2,23.4,-,37,3.5,8,20.6,
,,,,,,,,
29.1,36,22,-,47,3.2,8,22.2,
,,,,,,,,
-,-,-,-,-,-,-,-,
,,,,,,,,
-,-,-,-,-,-,-,-,
,,,,,,,,
-,-,-,-,-,-,-,-,
,,,,,,,,
-,-,-,-,-,-,-,-,
,,,,,,,,
33.3,41.2,24.5,,30,3.1,8.7,18.3,
,,,,,,,,
34.5,42,25.5,,29,3.2,8.1,20.6,
,,,,,,,,
33.7,41,27,,34,3.4,6.5,14.8,
,,,,,,,,
31.4,41.4,24,-,44,2.9,8.7,37,
,,,,,,,,
29.6,41.4,23.9,-,53,3.4,12.6,24.1,
,,,,,,,,
32.2,39,24.6,-,35,4,13,20.6,
,,,,,,,,
33.5,41,24.4,,27,3.5,10.4,22.2,
,,,,,,,,
35.4,43.5,26,,20,3.9,10.6,22.2,
,,,,,,,,
35.7,44,25.3,,17,3.9,9.1,24.1,
,,,,,,,,
37.2,45,26.5,-,20,3.9,8.5,20.6,
,,,,,,,,
37.9,46.8,28.6,-,18,3.4,8.9,22.2,
,,,,,,,,
38.3,46.8,28.7,-,18,3.9,8.7,18.3,
,,,,,,,,
37.8,46.2,29.8,-,30,3.7,11.3,20.6,
,,,,,,,,
37.1,46.1,30.5,-,42,3.4,13.7,44.6,
,,,,,,,,
35,44.6,30.3,-,43,2.7,15.7,24.1,
,,,,,,,,
35.8,43.4,29.2,,42,3.2,12.2,22.2,
,,,,,,,,
37.6,44.6,30.3,,33,3.7,9.6,14.8,
,,,,,,,,
36.1,45.3,28,,30,3.4,10.9,29.4,
,,,,,,,,
34.7,45.3,26.2,-,43,3.7,9.6,16.5,
,,,,,,,,
38.2,45.2,29.4,-,26,3.2,6.7,18.3,
,,,,,,,,
38.4,46.2,29.3,-,24,3.4,6.5,16.5,
,,,,,,,,
40.4,48,30.2,,18,3.5,8.9,20.6,
,,,,,,,,
39.2,48,33.3,,20,2.6,10.7,29.4,
,,,,,,,,
34.7,43.4,30,,40,2.6,14.3,27.8,
,,,,,,,,
36.7,43.4,29.8,-,35,3.7,11.1,18.3,
,,,,,,,,
37.7,45.2,29.6,-,21,3.9,10.9,24.1,
,,,,,,,,
37.4,45.4,28,-,25,3.2,13.5,27.8,
,,,,,,,,
30.8,37.8,27,,55,3.1,14.3,29.4,
,,,,,,,,
29.1,37.8,22,,54,3.5,14.3,27.8,
,,,,,,,,
28.9,36.8,21.1,,51,3.9,10.4,27.8,
,,,,,,,,
31.4,38.8,25.5,-,49,3.2,9.1,18.3,
,,,,,,,,
33.2,41.2,25,-,44,3.9,8.7,27.8,
,,,,,,,,
34.4,41.2,28.7,-,44,3.4,9.3,27.8,
,,,,,,,,
35.8,42.4,27.4,,37,3.9,13.1,18.3,
,,,,,,,,
34.2,42.6,28,,49,3.9,13.5,18.3,
,,,,,,,,
31,38.6,27.4,,64,3.4,12.4,22.2,
,,,,,,,,
34.2,40.4,27.9,-,52,3.5,7,13,
,,,,,,,,
36.5,42.8,29.8,-,42,3.4,10.4,20.6,
,,,,,,,,
35,42.8,30,-,40,3.1,12,24.1,
,,,,,,,,
36.1,43.8,29,,36,3.5,13.3,22.2,
,,,,,,,,
38.2,44.8,30.5,,34,3.7,11.5,22.2,
,,,,,,,,
37.3,44.8,32,,33,3.1,12.4,25.9,
,,,,,,,,
36.3,44.8,30.6,-,38,3.1,10.9,16.5,
,,,,,,,,
35.5,43.4,30.2,-,48,2.9,12.2,16.5,
,,,,,,,,
35.1,41.9,30.2,-,50,3.9,11.7,22.2,
,,,,,,,,
30.8,41.9,27,,72,2.7,8,18.3,
,,,,,,,,
29.9,34.5,26.7,,76,2.6,8.5,24.1,
,,,,,,,,
32.2,39,26.8,,63,2.7,10.7,20.6,
,,,,,,,,
31.8,37,27.5,-,67,3.4,8,18.3,
,,,,,,,,
32.9,38.2,29,-,61,2.7,8.1,18.3,
,,,,,,,,
31.2,38.2,28.1,-,68,2.7,11.9,22.2,
,,,,,,,,
34.4,39,28.2,,55,2.6,11.5,18.3,
,,,,,,,,
34.8,40.6,30.6,,53,2.9,13.1,22.2,
,,,,,,,,
35.4,40.6,30.9,,47,2.4,13,22.2,
,,,,,,,,
35,40.9,31,-,47,3.2,13.9,27.8,
,,,,,,,,
33.8,39.8,28,-,48,2.9,13.7,22.2,
,,,,,,,,
28.4,39.8,23,-,73,3.2,12.4,37,
,,,,,,,,
28.2,37,22.3,,80,3.4,12.6,22.2,
,,,,,,,,
27.3,33.2,22.6,,84,3.1,8.9,16.5,
,,,,,,,,
26.9,30,22.2,,83,3.1,6.1,13,
,,,,,,,,
31.6,36.4,24.6,-,68,3.4,7.4,11.1,
,,,,,,,,
29.4,36.4,25,-,82,2.9,7.2,25.9,
,,,,,,,,
29.5,37,25,-,82,2.7,6.3,27.8,
,,,,,,,,
31.8,37,24.5,,72,2.4,6.9,22.2,
,,,,,,,,
33.7,38.1,28.1,,68,3.2,6.9,14.8,
,,,,,,,,
31.8,39,27,,71,2.9,10,24.1,
,,,,,,,,
27.8,38.2,26.2,-,87,2.9,8.1,14.8,
,,,,,,,,
27.6,32.2,25.7,-,90,2.3,9.1,20.6,
,,,,,,,,
27.8,32.2,25.1,-,89,2.9,12.8,22.2,
,,,,,,,,
29.3,33.8,25.2,,85,3.5,14.8,24.1,
,,,,,,,,
30.5,34.4,26.8,,76,3.5,13,22.2,
,,,,,,,,
30.6,34.4,27.5,,76,3.7,13.3,20.6,
,,,,,,,,
30.8,34.2,27.1,-,77,3.2,9.1,16.5,
,,,,,,,,
31.3,36.8,27.2,-,72,2.9,10.7,18.3,
,,,,,,,,
29.1,36.8,27,-,85,2.6,5.4,18.3,
,,,,,,,,
28.4,34.2,26.3,-,89,2.3,6.7,22.2,
,,,,,,,,
30.3,36,26.1,,86,2.1,6.5,18.3,
,,,,,,,,
31.1,36,26.4,,83,1.9,7.6,14.8,
,,,,,,,,
27.4,36.2,23.8,,95,2.3,6.3,18.3,
,,,,,,,,
30.2,34.4,24.9,-,79,3.1,9.8,18.3,
,,,,,,,,
32.4,37.5,26.9,-,70,3.5,11.1,22.2,
,,,,,,,,
30.2,33.8,27,-,72,3.9,17.6,27.8,
,,,,,,,,
29.6,34,27,,80,3.4,13.5,27.8,
,,,,,,,,
31.8,37,27,,71,3.7,10.2,14.8,
,,,,,,,,
30.2,37,27.2,,84,3.5,7.4,11.1,
,,,,,,,,
29.2,36.4,26,-,87,2.6,9.8,18.3,
,,,,,,,,
29.4,36.4,25.7,-,88,2.3,5.6,27.8,
,,,,,,,,
29.7,33.6,24.5,-,82,2.9,13.1,22.2,
,,,,,,,,
28.3,33.6,26,,85,3.4,14.8,25.9,
,,,,,,,,
26.3,28.6,25.2,,98,2.1,14.6,22.2,
,,,,,,,,
27.4,30,24.4,,92,2.7,8.9,18.3,
,,,,,,,,
30,34.7,24.6,-,80,2.7,6.9,14.8,
,,,,,,,,
30.3,35.3,26.1,-,74,2.6,11.1,22.2,
,,,,,,,,
30.9,36.1,26,-,68,2.9,10.7,20.6,
,,,,,,,,
29.2,36.6,25.3,,72,2.7,8.5,27.8,
,,,,,,,,
31.4,37.2,26.1,,67,2.7,6.7,14.8,
,,,,,,,,
29.7,37.2,26,,78,2.4,6.7,14.8,
,,,,,,,,
27.7,33.8,25.6,-,84,2.6,9.1,18.3,
,,,,,,,,
30.4,35.4,24.9,-,73,3.5,10.4,20.6,
,,,,,,,,
31.6,36.6,26.8,-,68,3.4,7.4,11.1,
,,,,,,,,
32.4,37.9,27.5,,66,3.7,10,14.8,
,,,,,,,,
31.4,37.9,28,,70,3.4,10.4,18.3,
,,,,,,,,
31.9,37.7,26.7,,69,3.2,6.1,13,
,,,,,,,,
31.8,37.7,28.2,-,69,2.7,4.8,14.8,
,,,,,,,,
29.3,37.5,25.9,-,79,3.5,10.9,27.8,
,,,,,,,,
31.1,36.6,25.6,-,72,2.9,5.6,11.1,
,,,,,,,,
31.4,36.6,27.9,-,73,2.3,5,9.4,
,,,,,,,,
30.4,35.4,27.8,,78,2.1,9.1,14.8,
,,,,,,,,
31.1,36.8,26.9,,74,3.1,8.9,18.3,
,,,,,,,,
30.3,36.8,27,,77,2.9,9.4,18.3,
,,,,,,,,
29.6,36.6,26.8,-,80,3.1,10,16.5,
,,,,,,,,
31.5,36.6,26,-,71,2.9,6.1,13,
,,,,,,,,
32.3,38.2,27.5,-,65,3.2,6.3,14.8,
,,,,,,,,
32.5,38.4,27.4,,62,2.9,5.6,11.1,
,,,,,,,,
33.2,39.5,27.5,,60,2.9,6.7,13,
,,,,,,,,
31.6,39.5,28.5,,73,2.9,11.5,16.5,
,,,,,,,,
31.7,38.7,27.1,-,68,3.5,10,14.8,
,,,,,,,,
30.5,38.7,27,-,71,3.4,12,16.5,
,,,,,,,,
29.6,35.4,26.8,-,78,3.1,6.7,14.8,
,,,,,,,,
31.6,37.1,26.5,,66,2.9,7.4,9.4,
,,,,,,,,
30.7,37.1,24.6,,64,3.5,7,16.5,
,,,,,,,,
29.3,36.4,25.4,,70,4,14.4,18.3,
,,,,,,,,
27.9,36,24.6,-,74,3.4,10.4,16.5,
,,,,,,,,
29.3,34.8,24,-,70,3.7,8.7,14.8,
,,,,,,,,
26.7,37.1,23,-,83,2.7,5.4,27.8,
,,,,,,,,
25.9,37.1,22.3,,85,3.4,11.5,22.2,
,,,,,,,,
27.4,31.6,22.9,,76,3.2,7.8,13,
,,,,,,,,
27.8,32.5,22.8,,74,3.1,8,18.3,
,,,,,,,,
28.1,33.3,23.3,-,73,3.4,10.6,18.3,
,,,,,,,,
28.4,34.5,24.8,-,73,3.9,13.3,20.6,
,,,,,,,,
27.1,33.8,24.4,-,78,3.7,11.7,18.3,
,,,,,,,,
26.7,32.2,23,,78,3.4,12.8,20.6,
,,,,,,,,
26.3,32.2,23.2,,81,3.9,11.1,14.8,
,,,,,,,,
26.6,31.4,23,,80,3.5,9.4,16.5,
,,,,,,,,
27.1,33,22.6,-,79,2.9,7.8,13,
,,,,,,,,
28.4,33,23,-,66,3.1,4.8,11.1,
,,,,,,,,
27.3,36.4,21.8,-,68,3.2,6.7,27.8,
,,,,,,,,
25.8,36.4,20.4,,73,3.2,10,16.5,
,,,,,,,,
26.8,32.6,20.5,,58,3.9,10.6,18.3,
,,,,,,,,
27.1,32.6,20.8,,61,3.2,9.1,14.8,
,,,,,,,,
26.6,32.5,22,-,62,3.5,12.4,20.6,
,,,,,,,,
25.9,31.7,20.1,-,60,3.9,8,16.5,
,,,,,,,,
27.1,32,20.3,-,55,3.4,4.6,11.1,
,,,,,,,,
27.2,33.2,20.6,,53,2.9,5.6,11.1,
,,,,,,,,
27.2,33.8,19.8,,55,3.2,5,9.4,
,,,,,,,,
27.3,33.4,21,,58,3.2,4.8,14.8,
,,,,,,,,
27.2,33.2,20,-,55,2.7,4.8,13,
,,,,,,,,
27.2,33.2,20.2,-,58,2.6,4.1,11.1,
,,,,,,,,
27.9,34.2,20.6,-,55,2.6,4.3,9.4,
,,,,,,,,
28,34.2,21.8,,57,2.1,5.7,11.1,
,,,,,,,,
27.6,34.2,20.6,,57,2.3,8.1,11.1,
,,,,,,,,
27,33.7,21.2,,53,2.4,11.5,37,
,,,,,,,,
26.8,33.6,20.4,-,55,2.6,3.7,11.1,
,,,,,,,,
25.7,32.4,19,-,51,2.7,6.3,18.3,
,,,,,,,,
24.6,33.2,17.7,-,53,2.1,9.6,20.6,
,,,,,,,,
23.7,31.5,16.8,,51,2.4,7.4,20.6,
,,,,,,,,
24.7,32.1,17,,52,2.6,5.7,14.8,
,,,,,,,,
25.1,32.1,17.5,,53,1.9,5.6,11.1,
,,,,,,,,
24.6,32,18.4,-,54,2.3,6.3,11.1,
,,,,,,,,
24.7,30.8,17.8,-,56,1.9,1.5,9.4,
,,,,,,,,
24.2,31.2,17.6,-,52,1.9,6.1,18.3,
,,,,,,,,
24.3,31.2,17.1,,56,1.6,5,11.1,
,,,,,,,,
24.2,30.4,18.5,,63,1.6,2.2,7.6,
,,,,,,,,
24.8,30,19.5,,55,1.6,3.1,9.4,
,,,,,,,,
25.1,31,17.4,-,56,1.3,2.8,11.1,
,,,,,,,,
25.4,31,18.1,-,57,1.1,2.8,13,
,,,,,,,,
23.2,28.7,19,-,73,0.8,6.3,22.2,
,,,,,,,,
22.7,28.7,18.5,-,74,1.1,8.3,18.3,
,,,,,,,,
22.9,29,18,,63,2.1,9.6,18.3,
,,,,,,,,
23.1,29,16,,54,2.4,7.8,22.2,
,,,,,,,,
24,31,16,,44,2.6,6.5,11.1,
,,,,,,,,
20.4,31.6,17.4,-,75,1.4,7.2,16.5,
,,,,,,,,
22.6,28,16,-,63,1.9,4.8,11.1,
,,,,,,,,
22.2,29,15.4,-,55,2.1,9.8,18.3,
,,,,,,,,
19.8,29.4,14.5,1014.6,62,1.8,5.2,11.1,
,,,,,,,,
20.9,27.8,14.4,,49,1.4,4.4,70.6,
,,,,,,,,
20.4,27.2,12.5,,52,1,4.6,13,
,,,,,,,,
21.4,28,14.2,-,58,1,2.4,9.4,
,,,,,,,,
21,27.4,16,-,66,0.6,4.6,13,
,,,,,,,,
21.6,27,15.6,-,64,1,6.1,9.4,
,,,,,,,,
21.4,28.2,15,,60,1.8,11.7,22.2,
,,,,,,,,
21.1,28.9,14.1,,59,2.6,12.2,18.3,
,,,,,,,,
19.8,28.4,14,,60,2.6,8,20.6,
,,,,,,,,
20,26,13,-,59,2.4,5.2,13,
,,,,,,,,
19.9,26.4,12.3,-,58,1.9,3.1,11.1,
,,,,,,,,
20,27.4,12.8,-,57,1.6,2.6,9.4,
,,,,,,,,
21.7,27.4,13,,53,1.4,6.3,11.1,
,,,,,,,,
20,27.4,14.6,,64,2.1,9.4,14.8,
,,,,,,,,
20.5,26,14.9,,65,1.9,7.6,14.8,
,,,,,,,,
21.4,27,14,-,58,1.9,4.6,9.4,
,,,,,,,,
21.3,28.2,16.3,-,59,2.4,8.7,22.2,
,,,,,,,,
20.7,28.2,14.9,-,65,2.3,10,16.5,
,,,,,,,,
17.8,26.5,14,1017.2,75,2.3,13.1,25.9,
,,,,,,,,
18.5,23.2,12.3,,72,2.7,6.9,11.1,
,,,,,,,,
16.4,24.2,12,,80,1.4,6.5,13,
,,,,,,,,
16.6,22,9.4,-,66,1.8,6.5,16.5,
,,,,,,,,
16,22.4,9.4,-,64,2.3,9.3,18.3,
,,,,,,,,
16.7,23.1,8.6,-,52,2.4,6.9,18.3,
,,,,,,,,
16.5,23.6,8.5,,51,2.1,3.5,9.4,
,,,,,,,,
16.6,23.5,8.2,,60,1.3,2.8,11.1,
,,,,,,,,
16.3,23.2,9,,73,1,5,13,
,,,,,,,,
16.5,23.2,9.8,-,71,1,2.4,11.1,
,,,,,,,,
16.7,23.2,9.9,-,65,1.1,3.7,11.1,
,,,,,,,,
16.1,23,8.8,-,59,1.4,3.3,9.4,
,,,,,,,,
15.7,23.2,8.6,,63,1.3,2.8,11.1,
,,,,,,,,
17.3,22.6,8.7,,63,1.3,4.3,11.1,
,,,,,,,,
16.7,23.2,12.2,,74,1,13,44.6,
,,,,,,,,
15.1,20.6,12,-,88,1.1,11.5,18.3,
,,,,,,,,
14.4,18.2,9.5,-,81,1.1,5.9,9.4,
,,,,,,,,
13,18.4,9.3,-,86,1,10.2,14.8,
,,,,,,,,
11.1,18.2,9.4,,91,1.1,13.9,18.3,
,,,,,,,,
10.4,12.5,8.8,,87,1.3,9.6,14.8,
,,,,,,,,
11.2,15,7.8,,84,1,5.9,14.8,
,,,,,,,,
10.6,15.5,5.4,-,92,0.5,3.9,11.1,
,,,,,,,,
10.8,15.4,8,-,95,0.2,4.3,16.5,
,,,,,,,,
12.2,16.4,8.9,-,93,0.6,8,13,
,,,,,,,,
10.7,17,9,,96,0.6,12,16.5,
,,,,,,,,
9.1,14,6.8,,95,0.6,7.2,13,
,,,,,,,,
10.2,15,5.5,,89,0.6,6.7,13,
,,,,,,,,
8.2,15,5.4,-,97,0.6,11.3,14.8,
,,,,,,,,
8,11.6,5.6,-,90,0.8,7.8,13,
,,,,,,,,
8.6,12,4.2,-,84,0.8,4.6,11.1,
,,,,,,,,
7.1,12.9,3,,95,0.5,4.4,11.1,
,,,,,,,,
8.6,13.2,3.2,,90,0.5,3.5,11.1,
,,,,,,,,
6.4,13.6,2.9,,99,0.3,5.4,11.1,
,,,,,,,,
9,14,5,-,80,0.6,4.1,13,
